Serial Number,Number Series,Pre,Post,Device Type ,Device Model,Product Number,Product description,Start Date,Lease Maturity Date,Location
5CG1108HY3,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119F0L,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108HTJ,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119FDS,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108HZT,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119DRW,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1093T5V,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108J6M,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119F06,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119DCT,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108J64,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119F9J,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119DCJ,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119F9Q,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108J36,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119DS1,,,,Main Device,Probook,17G38UT,HP 435 X360 G7 - 360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Burlington
2TK118ZJ0B,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK118ZHJ7,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK124Z0BJ,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK118ZJMB,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK118ZJGV,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK124Z5N0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK118ZJYG,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK124Z6BM,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
2TK118ZJZ0,,,,Serialized Accessories,USB-C Dock,5TW10AA,HP USB-C Dock G5 US,7/1/2021,6/30/2024,Malta
5CG1108J68,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108J6B,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1119F4V,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108J3J,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
5CG1108HXD,,,,Main Device,Probook,17G38UT,360PB 435 G7 RYZ7/2.0 16GB 256GB W10P 64,7/1/2021,6/30/2024,Malta
GFUS000001TL,000001,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Burlington
GFUS000002TL,000002,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Burlington
GFUS000003TL,000003,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Hopewell Junction
GFUS000004TL,000004,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Hopewell Junction
GFUS000005TL,000005,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Hopewell Junction
GFUS000006TL,000006,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000007TL,000007,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000008TL,000008,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000009TL,000009,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000010TL,000010,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000011TL,000011,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000012TL,000012,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000013TL,000013,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000014TL,000014,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000015TL,000015,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000016TL,000016,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000017TL,000017,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000018TL,000018,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000019TL,000019,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000020TL,000020,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000021TL,000021,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000022TL,000022,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000023TL,000023,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000024TL,000024,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000025TL,000025,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000026TL,000026,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000027TL,000027,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000028TL,000028,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000029TL,000029,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000030TL,000030,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000031TL,000031,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000032TL,000032,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000033TL,000033,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000034TL,000034,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000035TL,000035,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000036TL,000036,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000037TL,000037,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000038TL,000038,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000039TL,000039,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000040TL,000040,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000041TL,000041,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000042TL,000042,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000043TL,000043,GFUS,TL,Peripherals,TopLoadBag,2SC66AA,HP 15.6 Business Top Load,7/1/2021,6/30/2024,Malta
GFUS000001NL,000001,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Burlington
GFUS000002NL,000002,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Burlington
GFUS000003NL,000003,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Hopewell Junction
GFUS000004NL,000004,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Hopewell Junction
GFUS000005NL,000005,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Hopewell Junction
GFUS000006NL,000006,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000007NL,000007,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000008NL,000008,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000009NL,000009,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000010NL,000010,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000011NL,000011,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000012NL,000012,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000013NL,000013,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000014NL,000014,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000015NL,000015,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000016NL,000016,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000017NL,000017,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000018NL,000018,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000019NL,000019,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000020NL,000020,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000022NL,000022,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000023NL,000023,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000024NL,000024,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000025NL,000025,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000026NL,000026,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000027NL,000027,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000028NL,000028,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000029NL,000029,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000030NL,000030,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000031NL,000031,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000032NL,000032,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000033NL,000033,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000034NL,000034,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000035NL,000035,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000036NL,000036,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000037NL,000037,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000038NL,000038,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000039NL,000039,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000040NL,000040,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000041NL,000041,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000042NL,000042,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
GFUS000043NL,000043,GFUS,NL,Peripherals,NanoMKLock,1AJ40AA,HP Nano Master Keyed Cable Lock,7/1/2021,6/30/2024,Malta
